text,label
"Itna backlog ho gaya hai ki rona aa raha hai lagatar, I am crying constantly.",2
"Week mein 2 JEE hain, schedule thoda tight hai aur main thoda nervous hoon.",1
"Week mein 2 board exam hain, schedule thoda tight hai aur main overwhelmed hoon.",1
"Doston ke sath padhai karke chill lag raha hai, Java easy lagne laga.",0
"Data Analytics ka error resolve ho gaya, code successfully chal raha hai.",0
"backend integration complete nahi ho pa raha, roz raat ko I am numb.",2
"Aaj ka din productive tha, Python padha aur ab relaxed hai.",0
"Doston ke sath padhai karke confident lag raha hai, DBMS easy lagne laga.",0
"Life barbaad lag rahi hai, Physics mein fail hone wala hoon, having panic attacks.",2
"Week mein 2 college exam hain, schedule thoda tight hai aur main thoda nervous hoon.",1
"placement drive achha gaya, happy feel ho raha hai aaj.",0
"Doston ki preparation mujhse zyada hai Cloud architecture mein, getting anxious.",1
"Time management mast chal raha hai, happy feel kar raha hoon about backend integration.",0
"Mera dimag phat jayega, Cloud architecture mein kuch samajh nahi aa raha, completely blank.",2
"Breathless feel ho raha hai JEE ke thought se hi, anxiety is too high.",2
"college exam achha gaya, on track feel ho raha hai aaj.",0
"Breathless feel ho raha hai NEET ke thought se hi, anxiety is too high.",2
"Bhai Python ki prep ekdum peaceful chal rahi hai, sab on track hai.",0
AWS samajh aa raha hai but mid-sem ke time pe tense ho jata hoon.,1
"Life barbaad lag rahi hai, DBMS mein fail hone wala hoon, blank.",2
"experiment abhi tak pending hai, feeling overwhelmed about the deadline.",1
"Raat bhar jaag ke DBMS padha but still nothing is going in my head, feeling breaking down.",2
"model training abhi tak pending hai, feeling thoda nervous about the deadline.",1
"Time management mast chal raha hai, sorted feel kar raha hoon about experiment.",0
"lab file complete nahi ho pa raha, roz raat ko I am hopeless.",2
"Kal ke placement drive ke liye I am chill, syllabus cover ho gaya.",0
"Dost aage nikal gaye aur main yahan stuck hoon DSA mein, feeling numb.",2
Placement prep aur college backend integration manage karne mein thoda stressed feel hota hai.,1
"Raat bhar jaag ke DSA padha but still nothing is going in my head, feeling severely anxious.",2
"hackathon clear nahi hua toh kya karunga, feeling totally severely anxious and lost.",2
"Thodi tension hai college exam ki, stressed lag raha hai.",1
"Breathless feel ho raha hai mid-sem ke thought se hi, anxiety is too high.",2
"Time management mast chal raha hai, confident feel kar raha hoon about code debugging.",0
"end-sem exam clear nahi hua toh kya karunga, feeling totally numb and lost.",2
"Raat bhar jaag ke DBMS padha but still nothing is going in my head, feeling hopeless.",2
"Results clear hain, marks acche aaye in ML, feeling on track.",0
"Life barbaad lag rahi hai, DSA mein fail hone wala hoon, severely anxious.",2
"Week mein 2 internship review hain, schedule thoda tight hai aur main stressed hoon.",1
Placement prep aur college model training manage karne mein thoda thoda nervous feel hota hai.,1
"placement drive achha gaya, confident feel ho raha hai aaj.",0
"Mera dimag phat jayega, Maths mein kuch samajh nahi aa raha, completely depressed.",2
"Week mein 2 final project review hain, schedule thoda tight hai aur main thoda nervous hoon.",1
"Bhai AI ki prep ekdum on track chal rahi hai, sab on track hai.",0
"Dost aage nikal gaye aur main yahan stuck hoon AWS mein, feeling suffocating.",2
"Kal ke technical interview ke liye I am happy, syllabus cover ho gaya.",0
"Week mein 2 final project review hain, schedule thoda tight hai aur main tense hoon.",1
"placement drive clear nahi hua toh kya karunga, feeling totally depressed and lost.",2
"code debugging complete nahi ho pa raha, roz raat ko I am breaking down.",2
"Dost aage nikal gaye aur main yahan stuck hoon SQL mein, feeling suffocating.",2
"Severe panic attacks aa rahe hain technical interview ke darr se, dimag blank ho gaya hai.",2
"Life barbaad lag rahi hai, Java mein fail hone wala hoon, severely anxious.",2
"Time management mast chal raha hai, on track feel kar raha hoon about backend integration.",0
"Bhai Microservices ki prep ekdum relaxed chal rahi hai, sab on track hai.",0
"Mera dimag phat jayega, Java mein kuch samajh nahi aa raha, completely blank.",2
"lab file complete nahi ho pa raha, roz raat ko I am blank.",2
"Dost aage nikal gaye aur main yahan stuck hoon REST APIs mein, feeling crying constantly.",2
"Time management mast chal raha hai, balanced feel kar raha hoon about project.",0
"Parents bhi support kar rahe hain, I feel happy about my career.",0
"Papa ki expectations ne anxiety badha di hai, placement ka stress mujhe breaking down bana raha hai.",2
"mock test complete nahi ho pa raha, roz raat ko I am severely anxious.",2
"Results clear hain, marks acche aaye in ML, feeling confident.",0
"Internal marks thode kam hain, stressed feel ho raha final NEET ke liye.",1
"project complete nahi ho pa raha, roz raat ko I am blank.",2
"job simulation clear nahi hua toh kya karunga, feeling totally having panic attacks and lost.",2
"SQL AWS deployment mein ek annoying bug hai, raat tak fix karna padega, feeling pressured.",1
"Week mein 2 placement drive hain, schedule thoda tight hai aur main pressured hoon.",1
"Time management mast chal raha hai, chill feel kar raha hoon about backend integration.",0
"Dost aage nikal gaye aur main yahan stuck hoon Spring Boot mein, feeling having panic attacks.",2
"Mera Spring Boot ka experiment done hai, I am fully confident.",0
"Thodi tension hai mid-sem ki, worried lag raha hai.",1
"Aaj ka din productive tha, DBMS padha aur ab set hai.",0
"Mentally on track hoon, koi placement drive ka darr nahi.",0
"Doston ke sath padhai karke happy lag raha hai, Microservices easy lagne laga.",0
"Aaj ka din productive tha, Spring Boot padha aur ab relaxed hai.",0
REST APIs samajh aa raha hai but internship review ke time pe overwhelmed ho jata hoon.,1
"Raat bhar jaag ke Spring Boot padha but still nothing is going in my head, feeling depressed.",2
"code debugging abhi tak pending hai, feeling confused about the deadline.",1
"Life barbaad lag rahi hai, AI mein fail hone wala hoon, blank.",2
"Internal marks thode kam hain, anxious feel ho raha final mid-sem ke liye.",1
"Bhai Maths ki prep ekdum peaceful chal rahi hai, sab on track hai.",0
"project abhi tak pending hai, feeling thoda nervous about the deadline.",1
"DSA mock test mein ek annoying bug hai, raat tak fix karna padega, feeling stressed.",1
"Mera SQL ka AWS deployment done hai, I am fully sorted.",0
"Life barbaad lag rahi hai, ML mein fail hone wala hoon, suffocating.",2
"JEE clear nahi hua toh kya karunga, feeling totally having panic attacks and lost.",2
Relatives ki expectations ki wajah se thoda tense lagta hai future ko leke.,1
"Week mein 2 placement drive hain, schedule thoda tight hai aur main thoda nervous hoon.",1
"Mera DSA ka AWS deployment done hai, I am fully relaxed.",0
"NEET achha gaya, set feel ho raha hai aaj.",0
"Anxiety itni hai ki khana bhi nahi khaya 2 din se, Data Analytics ki wajah se.",2
"Kal ke board exam ke liye I am confident, syllabus cover ho gaya.",0
"Week mein 2 job simulation hain, schedule thoda tight hai aur main pressured hoon.",1
Results anxiety hai thodi but I think REST APIs wala paper theek gaya hai.,1
"Results clear hain, marks acche aaye in SQL, feeling happy.",0
"Mera dimag phat jayega, REST APIs mein kuch samajh nahi aa raha, completely hopeless.",2
"lab file complete nahi ho pa raha, roz raat ko I am depressed.",2
"Syllabus lamba hai, aur board exam paas aa raha hai, thoda time kam lag raha hai.",1
"Mentally on track hoon, koi hackathon ka darr nahi.",0
"backend integration abhi tak pending hai, feeling thoda nervous about the deadline.",1
"Doston ki preparation mujhse zyada hai REST APIs mein, getting worried.",1
"AWS deployment complete nahi ho pa raha, roz raat ko I am depressed.",2
"Raat bhar jaag ke AWS padha but still nothing is going in my head, feeling having panic attacks.",2
"Life barbaad lag rahi hai, ML mein fail hone wala hoon, numb.",2
"Dimag sunn ho gaya hai stress se, kuch nahi padha college exam ke liye.",2
"Week mein 2 technical interview hain, schedule thoda tight hai aur main confused hoon.",1
"Doston ke sath padhai karke relaxed lag raha hai, Python easy lagne laga.",0
"Dost aage nikal gaye aur main yahan stuck hoon ML mein, feeling severely anxious.",2
Competition dekh kar thoda pressured ho gaya college mein.,1
"Mera dimag phat jayega, Python mein kuch samajh nahi aa raha, completely severely anxious.",2
"Time management mast chal raha hai, relaxed feel kar raha hoon about code debugging.",0
"Kal ke board exam ke liye I am sorted, syllabus cover ho gaya.",0
Spring Boot samajh aa raha hai but NEET ke time pe overwhelmed ho jata hoon.,1
"Mentally happy hoon, koi JEE ka darr nahi.",0
"Papa bhi support kar rahe hain, I feel chill about my career.",0
"assignment complete nahi ho pa raha, roz raat ko I am suffocating.",2
"Thodi tension hai placement drive ki, confused lag raha hai.",1
"Kal ke final project review ke liye I am on track, syllabus cover ho gaya.",0
REST APIs samajh aa raha hai but NEET ke time pe anxious ho jata hoon.,1
"Doston ke sath padhai karke sorted lag raha hai, ML easy lagne laga.",0
"Time management mast chal raha hai, peaceful feel kar raha hoon about assignment.",0
"Results clear hain, marks acche aaye in Maths, feeling balanced.",0
"Mummy ki expectations ne anxiety badha di hai, placement ka stress mujhe suffocating bana raha hai.",2
"Kal ke mid-sem ke liye I am relaxed, syllabus cover ho gaya.",0
"board exam clear nahi hua toh kya karunga, feeling totally numb and lost.",2
"Doston ke sath padhai karke confident lag raha hai, AWS easy lagne laga.",0
Results anxiety hai thodi but I think ML wala paper theek gaya hai.,1
"hackathon achha gaya, chill feel ho raha hai aaj.",0
"Week mein 2 board exam hain, schedule thoda tight hai aur main anxious hoon.",1
"Dost aage nikal gaye aur main yahan stuck hoon Data Analytics mein, feeling hopeless.",2
"Raat bhar jaag ke AI padha but still nothing is going in my head, feeling breaking down.",2
"Life barbaad lag rahi hai, Physics mein fail hone wala hoon, numb.",2
"model training abhi tak pending hai, feeling confused about the deadline.",1
"Bhai SQL ki prep ekdum on track chal rahi hai, sab on track hai.",0
"end-sem exam clear nahi hua toh kya karunga, feeling totally depressed and lost.",2
Data Analytics samajh aa raha hai but viva ke time pe confused ho jata hoon.,1
"Aaj ka din productive tha, Cloud architecture padha aur ab chill hai.",0
"Raat bhar jaag ke Spring Boot padha but still nothing is going in my head, feeling suffocating.",2
"NEET clear nahi hua toh kya karunga, feeling totally hopeless and lost.",2
"Aaj ka din productive tha, SQL padha aur ab peaceful hai.",0
"DSA mock test mein ek annoying bug hai, raat tak fix karna padega, feeling anxious.",1
"model training abhi tak pending hai, feeling stressed about the deadline.",1
Physics samajh aa raha hai but JEE ke time pe worried ho jata hoon.,1
"Week mein 2 viva hain, schedule thoda tight hai aur main anxious hoon.",1
"Raat bhar jaag ke Data Analytics padha but still nothing is going in my head, feeling severely anxious.",2
"Week mein 2 technical interview hain, schedule thoda tight hai aur main anxious hoon.",1
"Thodi tension hai job simulation ki, anxious lag raha hai.",1
"Life barbaad lag rahi hai, REST APIs mein fail hone wala hoon, severely anxious.",2
"Week mein 2 mid-sem hain, schedule thoda tight hai aur main thoda nervous hoon.",1
Neend thodi kam aa rahi hai technical interview ki tension ki wajah se.,1
"Backlog clear karna hai, schedule manage karne mein overwhelmed feel hota hai.",1
"Raat bhar jaag ke AWS padha but still nothing is going in my head, feeling crying constantly.",2
"Life barbaad lag rahi hai, Chemistry mein fail hone wala hoon, breaking down.",2
ML samajh aa raha hai but board exam ke time pe worried ho jata hoon.,1
Data Analytics samajh aa raha hai but hackathon ke time pe worried ho jata hoon.,1
"Doston ke sath padhai karke balanced lag raha hai, Microservices easy lagne laga.",0
"Mentally happy hoon, koi final project review ka darr nahi.",0
"Dimag sunn ho gaya hai stress se, kuch nahi padha NEET ke liye.",2
"Aaj ka din productive tha, SQL padha aur ab set hai.",0
"Results clear hain, marks acche aaye in Physics, feeling happy.",0
"Results clear hain, marks acche aaye in Java, feeling peaceful.",0
Spring Boot samajh aa raha hai but job simulation ke time pe overwhelmed ho jata hoon.,1
"Doston ki preparation mujhse zyada hai ML mein, getting pressured.",1
"Mera Physics ka project done hai, I am fully set.",0
"Relatives ki expectations ne anxiety badha di hai, placement ka stress mujhe depressed bana raha hai.",2
"Mera dimag phat jayega, Microservices mein kuch samajh nahi aa raha, completely crying constantly.",2
"Bhai Java ki prep ekdum on track chal rahi hai, sab on track hai.",0
"Mentally happy hoon, koi job simulation ka darr nahi.",0
AWS samajh aa raha hai but final project review ke time pe stressed ho jata hoon.,1
"Aaj ka din productive tha, DBMS padha aur ab chill hai.",0
"lab file time pe submit kar diya, ab I am completely relaxed.",0
"experiment complete nahi ho pa raha, roz raat ko I am severely anxious.",2
SQL samajh aa raha hai but college exam ke time pe confused ho jata hoon.,1
"Thodi tension hai board exam ki, tense lag raha hai.",1
"viva achha gaya, sorted feel ho raha hai aaj.",0
"end-sem exam clear nahi hua toh kya karunga, feeling totally crying constantly and lost.",2
"Papa bhi support kar rahe hain, I feel relaxed about my career.",0
"Results clear hain, marks acche aaye in Microservices, feeling peaceful.",0
"Doston ke sath padhai karke sorted lag raha hai, Spring Boot easy lagne laga.",0
Thoda nervous hoon exam ke liye but preparation okay hai.,1
"board exam clear nahi hua toh kya karunga, feeling totally suffocating and lost.",2
"Thodi tension hai JEE ki, confused lag raha hai.",1
"Mera Python ka AWS deployment done hai, I am fully chill.",0
"Mera Maths ka AWS deployment done hai, I am fully chill.",0
Ghar wale ki expectations ki wajah se thoda pressured lagta hai future ko leke.,1
Maths samajh aa raha hai but college exam ke time pe stressed ho jata hoon.,1
"Bhai AI ki prep ekdum sorted chal rahi hai, sab on track hai.",0
"model training time pe submit kar diya, ab I am completely balanced.",0
"Doston ki preparation mujhse zyada hai Chemistry mein, getting anxious.",1
"Dost aage nikal gaye aur main yahan stuck hoon ML mein, feeling depressed.",2
"Dost aage nikal gaye aur main yahan stuck hoon Chemistry mein, feeling crying constantly.",2
"Kal ke board exam ke liye I am happy, syllabus cover ho gaya.",0
"Sleep schedule aur study dono manage ho raha hai, life sorted hai.",0
"Mera dimag phat jayega, AWS mein kuch samajh nahi aa raha, completely numb.",2
"Time management mast chal raha hai, balanced feel kar raha hoon about experiment.",0
"JEE clear nahi hua toh kya karunga, feeling totally dead inside and lost.",2
"Doston ke sath padhai karke set lag raha hai, AWS easy lagne laga.",0
"Dost aage nikal gaye aur main yahan stuck hoon REST APIs mein, feeling depressed.",2
"Mera dimag phat jayega, Data Analytics mein kuch samajh nahi aa raha, completely depressed.",2
"Raat bhar jaag ke REST APIs padha but still nothing is going in my head, feeling dead inside.",2
"DBMS ka error resolve ho gaya, code successfully chal raha hai.",0
Placement prep aur college AWS deployment manage karne mein thoda anxious feel hota hai.,1
"model training abhi tak pending hai, feeling pressured about the deadline.",1
Raat bhar jaag ke padha but still nothing is going in my head.,2
"Aaj ka din productive tha, Cloud architecture padha aur ab relaxed hai.",0
Python samajh aa raha hai but technical interview ke time pe anxious ho jata hoon.,1
"AWS deployment complete nahi ho pa raha, roz raat ko I am numb.",2
"Kal ke job simulation ke liye I am relaxed, syllabus cover ho gaya.",0
"Week mein 2 technical interview hain, schedule thoda tight hai aur main thoda nervous hoon.",1
"experiment complete nahi ho pa raha, roz raat ko I am depressed.",2
"Doston ke sath padhai karke happy lag raha hai, AI easy lagne laga.",0
Thoda nervous hoon mid-sem ke liye but preparation basically okay hai.,1
"Mera dimag phat jayega, Java mein kuch samajh nahi aa raha, completely hopeless.",2
"Doston ki preparation mujhse zyada hai Python mein, getting tense.",1
"Internal marks thode kam hain, worried feel ho raha final board exam ke liye.",1
Physics samajh aa raha hai but hackathon ke time pe stressed ho jata hoon.,1
"Papa bhi support kar rahe hain, I feel on track about my career.",0
"Week mein 2 board exam hain, schedule thoda tight hai aur main stressed hoon.",1
"Kal ke NEET ke liye I am chill, syllabus cover ho gaya.",0
"hackathon clear nahi hua toh kya karunga, feeling totally crying constantly and lost.",2
"Internal marks thode kam hain, worried feel ho raha final end-sem exam ke liye.",1
"Kal ke college exam ke liye I am balanced, syllabus cover ho gaya.",0
"Doston ke sath padhai karke chill lag raha hai, Physics easy lagne laga.",0
"Mera dimag phat jayega, ML mein kuch samajh nahi aa raha, completely hopeless.",2
"backend integration abhi tak pending hai, feeling stressed about the deadline.",1
"DSA experiment achi gayi, lab marks aenge poore.",0
"Ghar wale ki expectations ne anxiety badha di hai, placement ka stress mujhe crying constantly bana raha hai.",2
"AWS experiment achi gayi, lab marks aenge poore.",0
"Kisi se baat karne ka mann nahi kar raha, itna stress hai ki crying constantly ho chuka hoon.",2
"Doston ki preparation mujhse zyada hai Python mein, getting anxious.",1
"Anxiety itni hai ki khana bhi nahi khaya 2 din se, DSA ki wajah se.",2
"Kal ke placement drive ke liye I am balanced, syllabus cover ho gaya.",0
"Kal ke NEET ke liye I am happy, syllabus cover ho gaya.",0
"Java experiment achi gayi, lab marks aenge poore.",0
Placement prep aur college model training manage karne mein thoda anxious feel hota hai.,1
"3 din se soye nahi hain, aankhein band nahi ho rahi tension se, kal viva hai.",2
"Dost aage nikal gaye aur main yahan stuck hoon DBMS mein, feeling severely anxious.",2
"Mummy bhi support kar rahe hain, I feel sorted about my career.",0
"mock test complete nahi ho pa raha, roz raat ko I am hopeless.",2
"internship review clear nahi hua toh kya karunga, feeling totally blank and lost.",2
"Dost aage nikal gaye aur main yahan stuck hoon Physics mein, feeling suffocating.",2
"Aaj ka din productive tha, ML padha aur ab happy hai.",0
"Bhai DBMS ki prep ekdum sorted chal rahi hai, sab on track hai.",0
"Mera dimag phat jayega, AI mein kuch samajh nahi aa raha, completely severely anxious.",2
"Results clear hain, marks acche aaye in AWS, feeling chill.",0
"backend integration complete nahi ho pa raha, roz raat ko I am blank.",2
"experiment complete nahi ho pa raha, roz raat ko I am crying constantly.",2
"Time management mast chal raha hai, set feel kar raha hoon about lab file.",0
"Dost aage nikal gaye aur main yahan stuck hoon Data Analytics mein, feeling severely anxious.",2
"Internal marks thode kam hain, confused feel ho raha final job simulation ke liye.",1
"Kal ke internship review ke liye I am on track, syllabus cover ho gaya.",0
"Mera ML ka model training done hai, I am fully balanced.",0
"Dost aage nikal gaye aur main yahan stuck hoon Python mein, feeling having panic attacks.",2
"lab file time pe submit kar diya, ab I am completely sorted.",0
"Doston ke sath padhai karke set lag raha hai, Java easy lagne laga.",0
"Doston ki preparation mujhse zyada hai Java mein, getting stressed.",1
"Severe panic attacks aa rahe hain mid-sem ke darr se, dimag blank ho gaya hai.",2
"Life barbaad lag rahi hai, REST APIs mein fail hone wala hoon, breaking down.",2
"Dost aage nikal gaye aur main yahan stuck hoon SQL mein, feeling crying constantly.",2
"Kal ke technical interview ke liye I am confident, syllabus cover ho gaya.",0
"Parents bhi support kar rahe hain, I feel on track about my career.",0
"Sab kuch plan ke hisaab se ja raha hai, totally confident and focused.",0
"Dost aage nikal gaye aur main yahan stuck hoon Cloud architecture mein, feeling having panic attacks.",2
"Raat bhar jaag ke SQL padha but still nothing is going in my head, feeling having panic attacks.",2
"Bhai Java ki prep ekdum relaxed chal rahi hai, sab on track hai.",0
"Kal ke mid-sem ke liye I am peaceful, syllabus cover ho gaya.",0
"lab file time pe submit kar diya, ab I am completely confident.",0
"model training complete nahi ho pa raha, roz raat ko I am blank.",2
"3 din se soye nahi hain, aankhein band nahi ho rahi tension se, kal JEE hai.",2
Placement prep aur college experiment manage karne mein thoda overwhelmed feel hota hai.,1
"job simulation clear nahi hua toh kya karunga, feeling totally suffocating and lost.",2
"Week mein 2 viva hain, schedule thoda tight hai aur main thoda nervous hoon.",1
"Internal marks thode kam hain, anxious feel ho raha final placement drive ke liye.",1
"Thodi tension hai board exam ki, anxious lag raha hai.",1
"technical interview achha gaya, on track feel ho raha hai aaj.",0
"Internal marks thode kam hain, overwhelmed feel ho raha final placement drive ke liye.",1
"Dost aage nikal gaye aur main yahan stuck hoon SQL mein, feeling severely anxious.",2
Papa ki expectations ki wajah se thoda stressed lagta hai future ko leke.,1
"Doston ki preparation mujhse zyada hai ML mein, getting worried.",1
"Week mein 2 NEET hain, schedule thoda tight hai aur main overwhelmed hoon.",1
"Kal ke viva ke liye I am sorted, syllabus cover ho gaya.",0
"Parents ki expectations ne anxiety badha di hai, placement ka stress mujhe crying constantly bana raha hai.",2
"practical record complete nahi ho pa raha, roz raat ko I am suffocating.",2
"Raat bhar jaag ke REST APIs padha but still nothing is going in my head, feeling numb.",2
"Raat bhar jaag ke REST APIs padha but still nothing is going in my head, feeling crying constantly.",2
"Papa bhi support kar rahe hain, I feel balanced about my career.",0
"Dost aage nikal gaye aur main yahan stuck hoon ML mein, feeling having panic attacks.",2
"AWS deploy successfully ho gaya project, no tension at all, totally confident.",0
"Bhai ML ki prep ekdum balanced chal rahi hai, sab on track hai.",0
"project abhi tak pending hai, feeling worried about the deadline.",1
"Bhai ML ki prep ekdum happy chal rahi hai, sab on track hai.",0
"Life barbaad lag rahi hai, Microservices mein fail hone wala hoon, suffocating.",2
"Aaj ka din productive tha, Maths padha aur ab happy hai.",0
"Life barbaad lag rahi hai, Microservices mein fail hone wala hoon, crying constantly.",2
Ghar wale ki expectations ki wajah se thoda anxious lagta hai future ko leke.,1
"technical interview achha gaya, peaceful feel ho raha hai aaj.",0
"Doston ke sath padhai karke sorted lag raha hai, Python easy lagne laga.",0
"Raat bhar jaag ke SQL padha but still nothing is going in my head, feeling severely anxious.",2
"Mera Python ka mock test done hai, I am fully happy.",0
"experiment time pe submit kar diya, ab I am completely chill.",0
"technical interview clear nahi hua toh kya karunga, feeling totally crying constantly and lost.",2
"Mummy bhi support kar rahe hain, I feel happy about my career.",0
"Kal ke mid-sem ke liye I am confident, syllabus cover ho gaya.",0
"Internal marks thode kam hain, thoda nervous feel ho raha final final project review ke liye.",1
"Raat bhar jaag ke Cloud architecture padha but still nothing is going in my head, feeling blank.",2
"backend integration complete nahi ho pa raha, roz raat ko I am hopeless.",2
"Spring Boot experiment achi gayi, lab marks aenge poore.",0
"Dost aage nikal gaye aur main yahan stuck hoon Chemistry mein, feeling blank.",2
DBMS samajh aa raha hai but viva ke time pe overwhelmed ho jata hoon.,1
"Kal ke hackathon ke liye I am balanced, syllabus cover ho gaya.",0
"Dost aage nikal gaye aur main yahan stuck hoon Microservices mein, feeling hopeless.",2
"project time pe submit kar diya, ab I am completely set.",0
"Dost aage nikal gaye aur main yahan stuck hoon Physics mein, feeling blank.",2
"Anxiety itni hai ki khana bhi nahi khaya 2 din se, Cloud architecture ki wajah se.",2
"Week mein 2 hackathon hain, schedule thoda tight hai aur main anxious hoon.",1
"Kal ke hackathon ke liye I am sorted, syllabus cover ho gaya.",0
"AWS deployment time pe submit kar diya, ab I am completely chill.",0
"project complete nahi ho pa raha, roz raat ko I am suffocating.",2
"final project review clear nahi hua toh kya karunga, feeling totally breaking down and lost.",2
"project time pe submit kar diya, ab I am completely relaxed.",0
"Kal ke job simulation ke liye I am on track, syllabus cover ho gaya.",0
"Raat bhar jaag ke Java padha but still nothing is going in my head, feeling numb.",2
"Mera dimag phat jayega, SQL mein kuch samajh nahi aa raha, completely breaking down.",2
"Har taraf se pressure hai, I feel like I am hopeless.",2
"Week mein 2 mid-sem hain, schedule thoda tight hai aur main worried hoon.",1
"Results clear hain, marks acche aaye in Python, feeling peaceful.",0
"DSA ka error resolve ho gaya, code successfully chal raha hai.",0
Java samajh aa raha hai but hackathon ke time pe pressured ho jata hoon.,1
"NEET achha gaya, balanced feel ho raha hai aaj.",0
"backend integration time pe submit kar diya, ab I am completely balanced.",0
"Mera Maths ka experiment done hai, I am fully chill.",0
"viva clear nahi hua toh kya karunga, feeling totally numb and lost.",2
"Kal ke placement drive ke liye I am sorted, syllabus cover ho gaya.",0
AWS samajh aa raha hai but hackathon ke time pe thoda nervous ho jata hoon.,1
"Mentally relaxed hoon, koi final project review ka darr nahi.",0
"Mera dimag phat jayega, REST APIs mein kuch samajh nahi aa raha, completely depressed.",2
"Papa ki expectations ne anxiety badha di hai, placement ka stress mujhe severely anxious bana raha hai.",2
"Microservices ka error resolve ho gaya, code successfully chal raha hai.",0
"placement drive clear nahi hua toh kya karunga, feeling totally having panic attacks and lost.",2
"final project review clear nahi hua toh kya karunga, feeling totally suffocating and lost.",2
"Severe panic attacks aa rahe hain JEE ke darr se, dimag blank ho gaya hai.",2
"Relatives bhi support kar rahe hain, I feel on track about my career.",0
"Life barbaad lag rahi hai, Maths mein fail hone wala hoon, numb.",2
"Mera dimag phat jayega, Chemistry mein kuch samajh nahi aa raha, completely hopeless.",2
"Dost aage nikal gaye aur main yahan stuck hoon Chemistry mein, feeling hopeless.",2
"practical record complete nahi ho pa raha, roz raat ko I am blank.",2
"Doston ki preparation mujhse zyada hai Maths mein, getting tense.",1
"Doston ke sath padhai karke peaceful lag raha hai, Microservices easy lagne laga.",0
"Dost aage nikal gaye aur main yahan stuck hoon Microservices mein, feeling severely anxious.",2
"Breathless feel ho raha hai placement drive ke thought se hi, anxiety is too high.",2
Placement prep aur college lab file manage karne mein thoda pressured feel hota hai.,1
"Results clear hain, marks acche aaye in AI, feeling sorted.",0
"Relatives ki expectations ne anxiety badha di hai, placement ka stress mujhe having panic attacks bana raha hai.",2
"backend integration time pe submit kar diya, ab I am completely set.",0
"Mera dimag phat jayega, Data Analytics mein kuch samajh nahi aa raha, completely severely anxious.",2
"Mera dimag phat jayega, DSA mein kuch samajh nahi aa raha, completely blank.",2
"Mera dimag phat jayega, AWS mein kuch samajh nahi aa raha, completely depressed.",2
"Time management mast chal raha hai, chill feel kar raha hoon about mock test.",0
Competition dekh kar thoda worried ho gaya college mein.,1
"end-sem exam achha gaya, happy feel ho raha hai aaj.",0
"Doston ki preparation mujhse zyada hai Cloud architecture mein, getting pressured.",1
Chemistry samajh aa raha hai but mid-sem ke time pe thoda nervous ho jata hoon.,1
"Mera dimag phat jayega, Microservices mein kuch samajh nahi aa raha, completely suffocating.",2
"assignment time pe submit kar diya, ab I am completely set.",0
"Results clear hain, marks acche aaye in AI, feeling happy.",0
Papa ki expectations ki wajah se thoda worried lagta hai future ko leke.,1
"hackathon achha gaya, set feel ho raha hai aaj.",0
